Data_Hash	Braid_ID	Signed	MIME_Type	Attribued_To	Created_At
c08c081e22127c90be94015c27982db5dd10f774bf8d139bcb929f56b2260bda	urn:braid:c08c081e22127c90be94015c27982db5dd10f774bf8d139bcb929f56b2260bda	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503394354472259
ac6b59b032ef32a432d6b3a82cd0bf2a0c74691297bc69659dee82895ce9e6ca	urn:braid:ac6b59b032ef32a432d6b3a82cd0bf2a0c74691297bc69659dee82895ce9e6ca	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503317613244736
8e8ca652c4bd711a32db4aabc90be73af5ab940fd132e835428b1e4bf88dc7f1	urn:braid:8e8ca652c4bd711a32db4aabc90be73af5ab940fd132e835428b1e4bf88dc7f1	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503317534267290
5f58b43ec91372384867171fb3ab33930f7f81cdc939ed309a04ed2059cb7088	urn:braid:5f58b43ec91372384867171fb3ab33930f7f81cdc939ed309a04ed2059cb7088	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503316764012534
4666fc7543758abea6f027923254205803587eafa15eecc63dfecf15ae3cf678	urn:braid:4666fc7543758abea6f027923254205803587eafa15eecc63dfecf15ae3cf678	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503299166281999
1f6c966a120fb0f172f4db500d93febb566780816b26b9da8263778c53b80956	urn:braid:1f6c966a120fb0f172f4db500d93febb566780816b26b9da8263778c53b80956	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503298977531551
eb95fe23fb523405004484d2c2eee0e110ae62b418338b2ea3c2566cea373a1b	urn:braid:eb95fe23fb523405004484d2c2eee0e110ae62b418338b2ea3c2566cea373a1b	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503298746242460
4c13fa3ee0411e3242cf3584d906c49c2a6ef68cdf486cf2684dde22f975eafc	urn:braid:4c13fa3ee0411e3242cf3584d906c49c2a6ef68cdf486cf2684dde22f975eafc	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503216515105008
3598b6e95160d747dda5bfda0b1eaa360b192ae093d6a37d2f878a7326fe0f67	urn:braid:3598b6e95160d747dda5bfda0b1eaa360b192ae093d6a37d2f878a7326fe0f67	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786503216058004143
3b56db13f2fce8ecf515ed72ee71dedae891b605f8d1bcd175d5ae18ba94024c	urn:braid:3b56db13f2fce8ecf515ed72ee71dedae891b605f8d1bcd175d5ae18ba94024c	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500816776562702
b3ef68f06a44f9bb22e67743bd73b2c9fb3640039dbc5bc4d0cc1d79e68ac603	urn:braid:b3ef68f06a44f9bb22e67743bd73b2c9fb3640039dbc5bc4d0cc1d79e68ac603	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500685740836786
f6f8fc0e373f87d93b3ce4d0f2fd6553b5b31238dc3efb4a881be1c248a39e08	urn:braid:f6f8fc0e373f87d93b3ce4d0f2fd6553b5b31238dc3efb4a881be1c248a39e08	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500685504583972
4284a8e51187d871d8cdaf544151735e6d8715dece4de0cb7359b2cb9213a976	urn:braid:4284a8e51187d871d8cdaf544151735e6d8715dece4de0cb7359b2cb9213a976	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500685367049488
7046722b86ede0769f540040fb3a1585af44f6f8353f7510ed1bc548f1fb28af	urn:braid:7046722b86ede0769f540040fb3a1585af44f6f8353f7510ed1bc548f1fb28af	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500680275852247
